Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,1.0717743936351585,651.85,608.1970271645579,0.0016442040249062798
2021/02,1.054300203473009,651.85,618.2774107912691,0.0016173969524783446
2021/03,1.7545405831565355,651.85,371.5217568962004,0.0026916324049344716
2021/04,1.3919192249009529,651.85,468.3102211239196,0.0021353366954068465
2021/05,1.2060375432579888,651.85,540.4889786756496,0.0018501764873176173
2021/06,1.1497165742045368,651.85,566.9658197725822,0.00176377475524206
2021/07,0.7331972747064769,651.85,889.0513133194025,0.0011247944691362688
2021/08,0.5762486916634051,651.85,1131.1956268713834,0.0008840203906779245
2021/09,0.536216084275928,651.85,1215.6479805715203,0.0008226065571464723
2021/10,0.6721503780054532,651.85,969.7978626960045,0.0010311427138228935
2021/11,1.0806039621874723,651.85,603.2274753837257,0.0016577494242348274
2021/12,1.3948586907653204,651.85,467.32332408693526,0.00213984611607781
2022/01,1.2615173932745738,716.15,567.6893587182808,0.0017615267657258588
2022/02,1.011589613919346,716.15,707.945188588204,0.0014125387333929291
2022/03,1.2418897808168547,716.15,576.6614808030317,0.0017341196408808975
2022/04,1.448982760774516,716.15,494.2432852804961,0.0020232950649647645
2022/05,1.467294235235977,716.15,488.07524953222855,0.002048864393263949
2022/06,1.503414177728488,716.15,476.34910632679595,0.0020993006740605853
2022/07,1.0112758080850472,716.15,708.1648688463163,0.0014121005488864724
2022/08,0.7541848022777602,716.15,949.5683257433868,0.0010531101058126931
2022/09,0.9059237671113228,716.15,790.5190546921561,0.0012649916457604174
2022/10,0.8116218413116323,716.15,882.369058529347,0.001133312631867112
2022/11,1.1524606998139006,716.15,621.4094763627462,0.0016092448506791882
2022/12,1.4181935748626373,716.15,504.9733778898022,0.001980302415503229
2023/01,1.4487296659050517,811.59,560.2080354259763,0.0017850511537907707
2023/02,1.585105979452618,811.59,512.009929001886,0.0019530871245981567
2023/03,1.7065401678502257,811.59,475.57626552815435,0.00210271216728918
2023/04,2.1020312449581504,811.59,386.0979716389316,0.0025900161965501673
2023/05,1.6733041638557946,811.59,485.02239911353195,0.002061760450296079
2023/06,1.6257683052643748,811.59,499.2039747435125,0.0020031891783589923
