Year/Month,Price
2021/01,2.0268199818452377
2021/02,2.076092261904762
2021/03,2.135872910119048
2021/04,2.107168895535714
2021/05,2.2618496169642857
2021/06,2.271247832142857
2021/07,2.105342039285714
2021/08,2.2160002654761906
2021/09,2.361712680357143
2021/10,2.545889145238095
2021/11,2.797132991071429
2021/12,2.91483733125
2022/01,2.8765319416666664
2022/02,2.8689377583333333
2022/03,3.8189242142857145
2022/04,3.795385428571429
2022/05,3.817134021428572
2022/06,3.6176359095238095
2022/07,3.2968171625
2022/08,3.28512555
2022/09,3.2979464541666665
2022/10,3.383002208333333
2022/11,3.300532620833333
2022/12,3.141835625
2023/01,2.9640908166666664
2023/02,2.8551554791666667
2023/03,2.6786873276785714
2023/04,2.434301912962963
2023/05,2.337460075
2023/06,2.3355207041666666
