Year/Month,DE
2021/01,0.011288805268109
2021/02,0.0178571428571427
2021/03,0.0197183098591549
2021/04,0.0158730158730158
2021/05,0.0205607476635514
2021/06,0.0167597765363127
2021/07,0.0418648905803997
2021/08,0.0436432637571158
2021/09,0.0484330484330484
2021/10,0.0513307984790873
2021/11,0.0530303030303032
2021/12,0.0605487228003782
2022/01,0.0474418604651163
2022/02,0.0517082179132042
2022/03,0.0607734806629836
2022/04,0.0882352941176471
2022/05,0.1071428571428572
2022/06,0.1245421245421245
2022/07,0.1488584474885843
2022/08,0.1690909090909089
2022/09,0.1838768115942026
2022/10,0.1962025316455697
2022/11,0.2095323741007193
2022/12,0.2123104371097235
2023/01,0.2335701598579043
2023/02,0.2458296751536435
2023/03,0.2421875
2023/04,0.2170608108108107
2023/05,0.1976840363937138
2023/06,0.1872964169381108
