Year/Month,ES
2021/01,0.0023476474616062
2021/02,0.0008785630613041
2021/03,-0.0011685655857435
2021/04,-0.0042536736272235
2021/05,-0.0064665572821156
2021/06,-0.002324455205811
2021/07,0.003112537690886
2021/08,0.0049596421277837
2021/09,0.0083853354134164
2021/10,0.0167723061921014
2021/11,0.0237212026552129
2021/12,0.0424454828660436
2022/01,0.0584561335024884
2022/02,0.07402711401541
2022/03,0.0791654479867407
2022/04,0.1214563106796116
2022/05,0.1471731105498348
2022/06,0.1648383652072613
2022/07,0.1794822069233006
2022/08,0.1887942713373329
2022/09,0.1909688648230516
2022/10,0.1895080080560085
2022/11,0.194049775913035
2022/12,0.1955547254389242
2023/01,0.1873501751797899
2023/02,0.188339992735198
2023/03,0.1871894480079501
2023/04,0.1431910657085966
2023/05,0.1185536455245999
2023/06,0.1026752229352445
