Year/Month,IT
2021/01,0.0058823529411764
2021/02,0.0019665683382497
2021/03,-0.0009746588693956
2021/04,-0.0058083252662148
2021/05,-0.0077294685990337
2021/06,-0.0038722168441431
2021/07,0.0009718172983479
2021/08,0.0038872691933915
2021/09,0.0098039215686274
2021/10,0.0137524557956778
2021/11,0.021505376344086
2021/12,0.0303326810176125
2022/01,0.0370370370370372
2022/02,0.0510304219823354
2022/03,0.0595121951219512
2022/04,0.0778967867575461
2022/05,0.0905550146056475
2022/06,0.1078717201166179
2022/07,0.125242718446602
2022/08,0.1335914811229428
2022/09,0.1427184466019417
2022/10,0.1589147286821703
2022/11,0.1617224880382775
2022/12,0.1642924976258308
2023/01,0.1635338345864661
2023/02,0.1690009337068161
2023/03,0.1620626151012891
2023/04,0.145438121047877
2023/05,0.1357142857142856
2023/06,0.1175438596491229
