Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,2.3193872,981.86,423.327334047545,0.002362238200965514
2021/02,2.444791611111111,981.86,401.6129618318526,0.002489959476005857
2021/03,2.4538388,981.86,400.13223362512645,0.0024991738129672256
2021/04,2.481625,981.86,395.6520425124666,0.0025274733668751146
2021/05,2.6049195000000003,981.86,376.92527542597765,0.002653045749903245
2021/06,2.442222,981.86,402.0355233881277,0.0024873423909722364
2021/07,2.178312833333333,981.86,450.7433390536117,0.0022185574657622603
2021/08,2.223945981481481,981.86,441.49453636726116,0.0022650336926664503
2021/09,2.3090833125,981.86,425.2163595331513,0.002351743947711486
2021/10,2.4695501481481483,981.86,397.58658099584306,0.0025151754304566314
2021/11,3.06725,981.86,320.1108484799087,0.003123917870164789
2021/12,2.945227,981.86,333.37328497939205,0.0029996404782759254
2022/01,2.81966725,976.04,346.1543201595862,0.0028888849329945497
2022/02,3.126111333333333,976.04,312.22176561423385,0.0032028516590850097
2022/03,4.107957333333333,976.04,237.59740445210727,0.004208800185784736
2022/04,4.0988984,976.04,238.1225160399194,0.00419951887217737
2022/05,4.2267228333333335,976.04,230.9212215910222,0.004330481161974237
2022/06,3.9142249166666665,976.04,249.35715774636438,0.004010311991994864
2022/07,3.857453880952381,976.04,253.0270043718635,0.003952147331003218
2022/08,3.821405428571429,976.04,255.41388325417145,0.00391521395493159
2022/09,3.775178642857143,976.04,258.5414075296077,0.003867852386026334
2022/10,3.62354825,976.04,269.3602879442822,0.0037124997438629562
2022/11,3.473324125,976.04,281.0103419300092,0.0035585878908651284
2022/12,3.2482418500000003,976.04,300.48255181491487,0.0033279802569566824
2023/01,3.17177275,1076.99,339.5545913558908,0.0029450345407106846
2023/02,3.0983335833333334,1076.99,347.60298432466504,0.002876845266282262
2023/03,2.862137,1076.99,376.2887660513805,0.0026575334961327405
2023/04,2.69341675,1076.99,399.86014047027817,0.002500874427803415
2023/05,2.554227,1076.99,421.65007260513653,0.0023716348341210223
2023/06,2.49574975,1076.99,431.5296435469943,0.002317337904715921
