Year/Month,Fraud
2021/01,-0.043425224437995104
2021/02,0.053844578962624484
2021/03,-0.026801588335613847
2021/04,-0.046438779495686575
2021/05,-0.08920198218597912
2021/06,-0.07139232281129534
2021/07,-0.10501913934809623
2021/08,-0.06268652638875194
2021/09,-0.06214825186305548
2021/10,-0.024553045797637608
2021/11,-0.04346851390349605
2021/12,-0.06674533513256876
2022/01,-0.010901903997009726
2022/02,-0.020065984110213736
2022/03,0.008037677142924676
2022/04,0.009817362778884162
2022/05,-0.011552725615433282
2022/06,0.023181772912891
2022/07,0.019100811539758553
2022/08,-0.010081343054449843
2022/09,-0.03335626447435848
2022/10,-0.06856113825970057
2022/11,-0.03914418997545816
2022/12,0.004730827433962046
2023/01,-0.01453140632174448
2023/02,-0.04083040029745333
2023/03,0.024940976563772692
2023/04,0.0813013656036178
2023/05,0.010508042485300467
2023/06,-0.04991576538389688
