Year/Month,HR
2021/01,0.0067683508102953
2021/02,-0.0010487177042616
2021/03,0.0045740423098914
2021/04,0.0079115432275282
2021/05,0.0035241451566816
2021/06,0.0091246079270033
2021/07,0.0169958222559818
2021/08,0.0266224538133585
2021/09,0.0363102009859688
2021/10,0.0526865388266564
2021/11,0.0748132034427313
2021/12,0.1025150616811707
2022/01,0.1128680996117792
2022/02,0.1371444932238976
2022/03,0.1466514892809713
2022/04,0.1894268961603935
2022/05,0.2237091875474564
2022/06,0.248752001507017
2022/07,0.2539445429931846
2022/08,0.2643041712809155
2022/09,0.2614582380386057
2022/10,0.2818108034989628
2022/11,0.2771911298838436
2022/12,0.2758261774655217
2023/01,0.2743980260359058
2023/02,0.2602601762484262
2023/03,0.2432164129715421
2023/04,0.210225013914288
2023/05,0.1925075622430776
2023/06,0.1728767536581685
