Year/Month,EL
2021/01,0.0080938891137192
2021/02,0.0074119199918774
2021/03,0.0018300122000813
2021/04,0.0003052192491606
2021/05,-0.0077824944410753
2021/06,-0.0065484585935926
2021/07,0.0056577086280056
2021/08,0.0118640659561632
2021/09,-0.0017169982830017
2021/10,0.007548309178744
2021/11,0.0176991150442478
2021/12,0.0254578385993158
2022/01,0.0429546366920914
2022/02,0.0599677484378149
2022/03,0.0848386442053987
2022/04,0.1176769731489015
2022/05,0.1416929815625953
2022/06,0.155562316195112
2022/07,0.1642555756479806
2022/08,0.1798489666136724
2022/09,0.2326993120194254
2022/10,0.241933872739986
2022/11,0.2530632411067193
2022/12,0.2560102050829163
2023/01,0.2499037721324093
2023/02,0.2521631644004944
2023/03,0.2309635173058932
2023/04,0.1910091910091909
2023/05,0.179157744468237
2023/06,0.1519964896884598
