Year/Month,BE
2021/01,-0.0058235465398427
2021/02,0.0026669206591103
2021/03,-0.0283351913786695
2021/04,-0.0329965125637127
2021/05,-0.0522261040938815
2021/06,-0.0575981483130063
2021/07,-0.0368714064068631
2021/08,-0.0297769065621207
2021/09,-0.0009558401835213
2021/10,-0.0122483858716292
2021/11,-0.0091350271196117
2021/12,0.0151559030794476
2022/01,0.0316313580005858
2022/02,0.0332478388904722
2022/03,0.0482837747394588
2022/04,0.0412428333641574
2022/05,0.0572778827977316
2022/06,0.0688645380691479
2022/07,0.0684165640102341
2022/08,0.0638830094285165
2022/09,0.07548794489093
2022/10,0.1338075555128328
2022/11,0.1715163737635647
2022/12,0.1841955116013693
2023/01,0.2086684962619476
2023/02,0.2292911648432474
2023/03,0.2596680043779644
2023/04,0.2298401420959146
2023/05,0.2253709994636152
2023/06,0.1900132567388421
