Year/Month,BG
2021/01,0.0274632189032546
2021/02,0.0268736141906873
2021/03,0.0162995594713655
2021/04,0.006246746486205
2021/05,0.0060198918164369
2021/06,0.0128800490668534
2021/07,0.021906764808973
2021/08,0.0251902387824718
2021/09,0.037027333857305
2021/10,0.0600697471665214
2021/11,0.079616182572614
2021/12,0.0977235350125507
2022/01,0.1220168358934303
2022/02,0.1322335463810675
2022/03,0.1719982661465107
2022/04,0.2122779789618898
2022/05,0.253143699592403
2022/06,0.2761245674740487
2022/07,0.2926599211113017
2022/08,0.3182322327446463
2022/09,0.3433263157894737
2022/10,0.3766757134632781
2022/11,0.3903435022820081
2022/12,0.4019082163696579
2023/01,0.3892799133730376
2023/02,0.3831718666564954
2023/03,0.3448479917153635
2023/04,0.2858463726884779
2023/05,0.2376470588235295
2023/06,0.1896014099783081
