Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,0.7120941968358482,3006.82,4222.503165115853,0.0002368263470496565
2021/02,0.8258223730690241,3006.82,3641.000895659536,0.0002746497539157728
2021/03,0.9994558346645366,3006.82,3008.4570980659964,0.00033239629730563735
2021/04,0.7714105818740605,3006.82,3897.820525996997,0.0002565536287087556
2021/05,0.6544474104220119,3006.82,4594.440977405795,0.000217654335950277
2021/06,0.7331430508872653,3006.82,4101.2732731505575,0.00024382671755784026
2021/07,0.789983775839281,3006.82,3806.179432996008,0.0002627306509333053
2021/08,0.8629227916300334,3006.82,3484.4600573363164,0.00028698850999728394
2021/09,0.7442914436313427,3006.82,4039.8422227319297,0.0002475344196298224
2021/10,0.8134123069656,3006.82,3696.550905673919,0.0002705224479568447
2021/11,0.7596843496503498,3006.82,3957.9859732320547,0.0002526537503576369
2021/12,0.9840026146100168,3006.82,3055.7032627313424,0.00032725690750028824
2022/01,1.038933457372026,3083.16,2967.62028224486,0.00033697033477731483
2022/02,1.2161920441073153,3083.16,2535.0930512483646,0.00039446283816192327
2022/03,0.962800903980322,3083.16,3202.28199543009,0.0003122773076909152
2022/04,0.9565641186232756,3083.16,3223.160831536734,0.00031025445277678605
2022/05,0.7116397765880218,3083.16,4332.472834475755,0.00023081506525383756
2022/06,0.7790910054367525,3083.16,3957.3810742066057,0.0002526923693343039
2022/07,0.9207360739082968,3083.16,3348.5817351684163,0.0002986338931188446
2022/08,0.9843375602564102,3083.16,3132.218178484287,0.000319262561870422
2022/09,0.8474551301254861,3083.16,3638.139519603196,0.0002748657643863718
2022/10,1.0345374653564818,3083.16,2980.2303959456913,0.00033554452748364727
2022/11,0.9874197320419408,3083.16,3122.441146303771,0.0003202622413504135
2022/12,1.3077520831758034,3083.16,2357.6028206452684,0.0004241596554106188
2023/01,2.0450680354327297,3371.04,1648.3754777804734,0.0006066578965045593
2023/02,2.196906910433999,3371.04,1534.448266328249,0.0006517000422522424
2023/03,2.1297186495110654,3371.04,1582.8569660006092,0.0006317690236577036
2023/04,1.6333170050098993,3371.04,2063.922673712424,0.00048451427601271395
2023/05,0.8300409972224617,3371.04,4061.2933713881575,0.0002462269795737997
2023/06,0.7275763589092141,3371.04,4633.245650056413,0.00021583142262008583
