Year/Month,Price,Salary,Ratio,Inverse Ratio
2021/01,0.998701,3006.82,3010.730939490398,0.0003321452564503362
2021/02,1.18781875,3006.82,2531.3794718259837,0.0003950415222727
2021/03,0.92332425,3006.82,3256.515790633681,0.0003070766623875057
2021/04,0.88937325,3006.82,3380.8302644587075,0.0002957853313467384
2021/05,0.676466,3006.82,4444.894495806146,0.0002249772184567084
2021/06,0.7281545,3006.82,4129.370895874434,0.00024216763890089863
2021/07,0.8625868000000001,3006.82,3485.817311370867,0.0002868767668167699
2021/08,0.9278348,3006.82,3240.6846563633962,0.0003085767688122335
2021/09,0.8022925000000001,3006.82,3747.785252884702,0.0002668242528651532
2021/10,0.9883722,3006.82,3042.194023668412,0.0003287101322992397
2021/11,0.9295986,3006.82,3234.53585235606,0.00030916336860869624
2021/12,1.248738,3006.82,2407.887002717944,0.000415301880391909
2022/01,1.90434175,3083.16,1619.0161246005346,0.0006176590738073924
2022/02,2.00498925,3083.16,1537.743905609469,0.0006503033413770288
2022/03,1.9381936,3083.16,1590.7389230879721,0.0006286386694170916
2022/04,1.5032676,3083.16,2050.9721622417724,0.0004875736581948391
2022/05,0.7615278,3083.16,4048.650620502626,0.00024699587436266687
2022/06,0.682222,3083.16,4519.291374362011,0.00022127362835532377
2022/07,0.6609864,3083.16,4664.483263195732,0.00021438601953839567
2022/08,0.6527993999999999,3083.16,4722.982282152833,0.0002117306270190324
2022/09,0.7970539999999999,3083.16,3868.19462671287,0.0002585185329337433
2022/10,1.112943,3083.16,2770.2766448955604,0.0003609747791227183
2022/11,0.903951,3083.16,3410.760096509656,0.0002931897793173238
2022/12,1.30579375,3083.16,2361.1385795038454,0.000423524484619676
2023/01,1.790292,3371.04,1882.9554061572078,0.0005310800227822868
2023/02,2.66168725,3371.04,1266.504920891814,0.0007895745081636528
2023/03,2.3849328,3371.04,1413.4737884438505,0.0007074768617399971
2023/04,1.8279604000000005,3371.04,1844.1537354966765,0.0005422541411552519
2023/05,1.3111846666666669,3371.04,2570.9879666072966,0.0003889555349882134
2023/06,1.2351965,3371.04,2729.152810909033,0.0003664140739949689
