Year/Month,AT
2021/01,-0.0020914535602243
2021/02,0.0251010623296041
2021/03,0.00111441307578
2021/04,0.0013075558046138
2021/05,-0.005215609574369
2021/06,-0.0167329204030692
2021/07,-0.0174919018972697
2021/08,-0.0226621034131903
2021/09,-0.019644180874722
2021/10,-0.0039814814814815
2021/11,0.0007393715341958
2021/12,0.0062800147765051
2022/01,0.0274364104029722
2022/02,0.0291636096845193
2022/03,0.0556586270871986
2022/04,0.0692099617572987
2022/05,0.0941859376462879
2022/06,0.1604926664159458
2022/07,0.1742652599849283
2022/08,0.1958167707741813
2022/09,0.2032136105860114
2022/10,0.1890861764432463
2022/11,0.2088104913188029
2022/12,0.2399045521292218
2023/01,0.2586926286509041
2023/02,0.2289253252539653
2023/03,0.2075571177504394
2023/04,0.1938410538253512
2023/05,0.1684777958415333
2023/06,0.0956817629425585
