Year/Month,SI
2021/01,0.0156764852720918
2021/02,0.0138568129330254
2021/03,-0.002562586240883
2021/04,-0.0212476957407586
2021/05,0.0021602513747054
2021/06,0.0337392693152325
2021/07,0.0267194458189015
2021/08,0.0156553870089459
2021/09,0.0448364209696492
2021/10,0.0391927464170811
2021/11,0.0488431876606683
2021/12,0.0805828129646148
2022/01,0.0821863940228078
2022/02,0.1093394077448748
2022/03,0.1356719367588932
2022/04,0.2277954004758129
2022/05,0.2759161277679796
2022/06,0.3146002317497101
2022/07,0.3274216867469879
2022/08,0.3588319770224988
2022/09,0.3629161558049607
2022/10,0.3620414673046253
2022/11,0.3881975867269984
2022/12,0.3497523390203634
2023/01,0.3574672965116279
2023/02,0.2999732166770825
2023/03,0.2792134342643348
2023/04,0.1688196350718553
2023/05,0.0800952234679772
2023/06,0.0014690759512268
