Year/Month,HR
2021/01,-0.027756868648852
2021/02,-0.0293757649938799
2021/03,-0.0287054409005627
2021/04,-0.0166445999621712
2021/05,-0.0239984882842025
2021/06,-0.0042077077555704
2021/07,0.0107702663717665
2021/08,0.000285089803288
2021/09,0.00875
2021/10,0.0189824629022932
2021/11,0.0373279038200504
2021/12,0.0499805144193297
2022/01,0.0616471499080615
2022/02,0.0654767678727326
2022/03,0.0870195093683598
2022/04,0.1177149451817656
2022/05,0.1573088092933203
2022/06,0.1566311341592241
2022/07,0.1838074398249454
2022/08,0.1962758882766482
2022/09,0.1924506720045753
2022/10,0.1809929078014185
2022/11,0.1769324235909899
2022/12,0.1698988586805234
2023/01,0.1575205104831358
2023/02,0.1443008011653312
2023/03,0.1291870279875611
2023/04,0.1208053691275166
2023/05,0.1012965286491007
2023/06,0.1045333776154102
