Year/Month,Fraud
2021/01,0.0
2021/02,0.0
2021/03,0.0
2021/04,-0.08863389213657998
2021/05,0.0
2021/06,0.0
2021/07,0.0
2021/08,0.6383724401159274
2021/09,0.0
2021/10,0.0
2021/11,0.0
2021/12,0.0
2022/01,-0.1782591652618292
2022/02,-0.07690279738793933
2022/03,-0.02790641228344412
2022/04,0.02165643572869812
2022/05,-0.05933283824282391
2022/06,0.03793056485148481
2022/07,0.0732126036460547
2022/08,-0.07643994800980712
2022/09,-0.18281966948406417
2022/10,0.11703714575076016
2022/11,0.14081901679681375
2022/12,0.0
2023/01,0.22831841407349285
2023/02,0.093507422406495
2023/03,0.19667337282966404
2023/04,0.057152480797214036
2023/05,0.14533275213362937
2023/06,-0.08173131205939048
