Year/Month,FI
2021/01,0.0050191910245054
2021/02,-0.0002943196311193
2021/03,0.0042119698305416
2021/04,0.0065641226609189
2021/05,0.0037029818748781
2021/06,0.0071351774020136
2021/07,0.0098787167449139
2021/08,0.0132691173579713
2021/09,0.0078163165608209
2021/10,0.0091078248947213
2021/11,0.0139475493566447
2021/12,0.0125625674747276
2022/01,0.0146886016451233
2022/02,0.0313052011776251
2022/03,0.0330667186890363
2022/04,0.0452598793069884
2022/05,0.0647572815533981
2022/06,0.0790954968944097
2022/07,0.1065375302663438
2022/08,0.117664176932777
2022/09,0.1625787687833251
2022/10,0.170807453416149
2022/11,0.1663276179405211
2022/12,0.1690413880003876
2023/01,0.1740976645435243
2023/02,0.1800361594823485
2023/03,0.183457652724011
2023/04,0.1773908185119657
2023/05,0.1590225221117898
2023/06,0.1398507059987408
