Year/Month,Price
2021/01,1.6048117916666669
2021/02,1.6779166666666667
2021/03,1.689771583333333
2021/04,1.64884725
2021/05,1.650578
2021/06,1.6869999999999998
2021/07,1.725564375
2021/08,1.855578
2021/09,2.1201791666666665
2021/10,2.335337083333333
2021/11,2.54816675
2021/12,2.8904165416666663
2022/01,2.8728896666666666
2022/02,2.9214285833333333
2022/03,3.356124666666666
2022/04,3.755000055555556
2022/05,4.0758168333333336
2022/06,3.538308166666667
2022/07,3.159878875
2022/08,3.03495975
2022/09,2.906305666666667
2022/10,3.002043083333333
2022/11,3.0462915833333333
2022/12,2.83545475
2023/01,2.723051041666667
2023/02,2.368869111111111
2023/03,2.158440944444445
2023/04,2.011444722222222
2023/05,1.8516846666666664
2023/06,1.908000111111111
