Year/Month,Price
2021/01,1.471826107912607
2021/02,1.4850799498021523
2021/03,1.467958312763248
2021/04,1.4505150167042227
2021/05,1.454532904567011
2021/06,1.4573804977030596
2021/07,1.4500717209507041
2021/08,1.4703842010025554
2021/09,1.4832536638983882
2021/10,1.5176493530506316
2021/11,1.5540295843728513
2021/12,1.5663009289552459
2022/01,1.6283842327898552
2022/02,1.730444185475957
2022/03,1.7456467849281438
2022/04,1.72347387753066
2022/05,1.7574649442718449
2022/06,1.820434103260869
2022/07,1.9094017418280873
2022/08,2.0739130581045684
2022/09,2.4648752851833895
2022/10,2.7342300634057968
2022/11,2.9719972556427394
2022/12,3.37901656576928
2023/01,3.3730530481245573
2023/02,3.447391365678625
2023/03,3.971831420262487
2023/04,4.421102588923032
2023/05,4.723963505835688
2023/06,4.03314306181611
