Year/Month,PL
2021/01,-0.041244573082489
2021/02,-0.0481927710843372
2021/03,-0.0284900284900284
2021/04,-0.027158774373259
2021/05,-0.0141944641589779
2021/06,0.0029090909090909
2021/07,0.0736245954692556
2021/08,0.0810580204778157
2021/09,0.1016225448334757
2021/10,0.0843776106934002
2021/11,0.079454253611557
2021/12,0.1218152866242039
2022/01,0.110943396226415
2022/02,0.0990320178704391
2022/03,0.1026392961876832
2022/04,0.1252684323550466
2022/05,0.093592512598992
2022/06,0.0833937635968093
2022/07,0.0640542577241898
2022/08,0.0939226519337015
2022/09,0.0891472868217053
2022/10,0.1718027734976885
2022/11,0.1546468401486989
2022/12,0.14194464158978
2023/01,0.141983695652174
2023/02,0.2249322493224934
2023/03,0.2905585106382977
2023/04,0.212468193384224
2023/05,0.2475312705727452
2023/06,0.2583668005354751
