Year/Month,Price
2021/01,3.6940659886714733
2021/02,3.575155950353402
2021/03,3.2907615200868627
2021/04,2.835820665663155
2021/05,2.8083306077715045
2021/06,3.227467297432478
2021/07,3.3825232104696425
2021/08,3.430319925840475
2021/09,3.5129576726663876
2021/10,3.5168682852150757
2021/11,3.536930666223072
2021/12,3.5452441907661085
2022/01,
2022/02,
2022/03,4.780495010918867
2022/04,4.716170626512054
2022/05,4.756958605078516
2022/06,4.813179736951636
2022/07,4.70054084293711
2022/08,4.885106101445724
2022/09,5.275104633140971
2022/10,5.989072789447973
2022/11,6.891197253712278
2022/12,7.64426599536482
2023/01,8.05320848306333
2023/02,7.919325971415811
2023/03,8.888281194828352
2023/04,9.275277297977928
2023/05,8.808144225352112
2023/06,8.568572891774293
