Year/Month,BE
2021/01,0.0311534500514933
2021/02,0.0091969684067103
2021/03,-0.0055959241626993
2021/04,0.0024251547081453
2021/05,-0.0059780803719694
2021/06,0.0014171390463488
2021/07,0.0062122090615421
2021/08,0.0088167435728412
2021/09,0.0154876517371285
2021/10,0.0218820201347864
2021/11,0.0418364800798469
2021/12,0.0580923389142566
2022/01,0.0737411568872241
2022/02,0.1335752257193485
2022/03,0.1303544431379137
2022/04,0.1263034954534077
2022/05,0.1683093885733377
2022/06,0.2052776159160909
2022/07,0.2118044122489299
2022/08,0.2148983092379319
2022/09,0.2485572959604285
2022/10,0.2538674482983227
2022/11,0.2765447868433657
2022/12,0.2968912331175577
2023/01,0.3471048755910395
2023/02,0.3070567217507816
2023/03,0.3125278644672311
2023/04,0.2543515295163321
2023/05,0.2112676056338027
2023/06,0.1755646108156641
