Year/Month,EL
2021/01,0.0042622285366347
2021/02,-0.0019238558120697
2021/03,0.000203272690314
2021/04,-0.0067827495444422
2021/05,-0.0019265868992091
2021/06,-0.0041726032973744
2021/07,0.0027469732424458
2021/08,0.0022446689113355
2021/09,0.0106480073014907
2021/10,0.0146538655886812
2021/11,0.0266248228386312
2021/12,0.0343053173241854
2022/01,0.0403193209377528
2022/02,0.0583341787562139
2022/03,0.076008535717915
2022/04,0.0998878809499541
2022/05,0.134003860611602
2022/06,0.1593254982115484
2022/07,0.166801948051948
2022/08,0.1850758424106686
2022/09,0.18492875777644
2022/10,0.1939243027888446
2022/11,0.1875554679025737
2022/12,0.1803726465710662
2023/01,0.1859154929577464
2023/02,0.1687116564417179
2023/03,0.1561998300122768
2023/04,0.1379853581688443
2023/05,0.1110912022934957
2023/06,0.0944992947813823
