Year/Month,FR
2021/01,0.0668073136427567
2021/02,0.0714473108876256
2021/03,0.0589191038139216
2021/04,0.0231299212598423
2021/05,0.0044859538167378
2021/06,0.0025289294198787
2021/07,0.027003345547236
2021/08,0.0361312716945407
2021/09,0.0445834010069838
2021/10,0.0375738926228843
2021/11,0.0392520351414524
2021/12,0.0234587670136108
2022/01,0.0475444957152273
2022/02,0.0435847208619
2022/03,0.0528950981183879
2022/04,0.0388808722142055
2022/05,-0.0071747565707591
2022/06,0.0302706008255619
2022/07,0.0283874970914448
2022/08,0.0357088472666362
2022/09,0.0654590686465055
2022/10,0.0793725122922033
2022/11,0.0757716767488754
2022/12,0.0648517562387547
2023/01,0.0769291276645953
2023/02,0.099718442045988
2023/03,0.1033900905046787
2023/04,0.0995447179566324
2023/05,0.0766167686748764
2023/06,0.0928179255082355
