Year/Month,NL
2021/01,-0.0029281277728482
2021/02,0.0008781173164735
2021/03,0.0032487487926946
2021/04,-0.0058079056865464
2021/05,0.0017371666811429
2021/06,0.0027901299154242
2021/07,0.007659500391679
2021/08,0.0127781641168289
2021/09,0.0076675089309052
2021/10,0.0171947281138169
2021/11,0.0256096495061621
2021/12,0.031121601538596
2022/01,0.0606033638871585
2022/02,0.0681698543604141
2022/03,0.06905303693331
2022/04,0.0944284593251372
2022/05,0.10630365039452
2022/06,0.1504217024606555
2022/07,0.1731882180184849
2022/08,0.1831602437559008
2022/09,0.2029399048854301
2022/10,0.2219838681997596
2022/11,0.2419464803136184
2022/12,0.2841882153454853
2023/01,0.280080550427924
2023/02,0.2781930184804928
2023/03,0.2710601719197707
2023/04,0.2375717017208414
2023/05,0.219923191472686
2023/06,0.1696016929937267
