Year/Month,Fraud
2021/01,0.06111482611814814
2021/02,0.011666446901214182
2021/03,0.07667639400229073
2021/04,0.07152380292649207
2021/05,0.07748300446079938
2021/06,0.08441196209312447
2021/07,0.008326511740394288
2021/08,0.020985226868917174
2021/09,-0.07383171363195214
2021/10,-0.060590561748582177
2021/11,0.03635381253363891
2021/12,0.013624480803168278
2022/01,0.03163320748874373
2022/02,-0.04897102786898404
2022/03,-0.11522162002590355
2022/04,-0.2042903144329997
2022/05,-0.2365768740855919
2022/06,-0.2255222588429724
2022/07,-0.18607517158736223
2022/08,-0.18823778404646851
2022/09,-0.09759667544626695
2022/10,-0.1467732843570432
2022/11,-0.1805348566706207
2022/12,-0.18422901367276276
2023/01,-0.2417815436947129
2023/02,-0.1710656259143282
2023/03,-0.14522018347625582
2023/04,-0.045246252945399176
2023/05,0.003269233572150236
2023/06,0.014019104162499851
