Year/Month,Price
2021/01,1.615345
2021/02,1.7941606904761904
2021/03,1.7990589285714285
2021/04,1.842492476190476
2021/05,1.9687999444444444
2021/06,1.967279547619048
2021/07,1.897813285714285
2021/08,
2021/09,2.0339574285714286
2021/10,2.091580428571429
2021/11,2.283254714285714
2021/12,2.5122385714285715
2022/01,2.5836677142857143
2022/02,2.565802857142857
2022/03,2.8068414285714285
2022/04,3.139628
2022/05,3.298332142857143
2022/06,3.270632285714285
2022/07,2.979875
2022/08,2.938393571428571
2022/09,2.8972154285714287
2022/10,2.950981714285714
2022/11,3.0172822857142854
2022/12,2.924891571428572
2023/01,2.7410072857142858
2023/02,2.548572571428572
2023/03,2.417024428571428
2023/04,2.315343714285714
2023/05,2.1017588571428574
2023/06,2.060070285714286
