Year/Month,PL
2021/01,0.0309278350515462
2021/02,0.0254668930390491
2021/03,0.0270042194092827
2021/04,0.026006711409396
2021/05,0.0225187656380316
2021/06,0.0241264559068219
2021/07,0.0317195325542569
2021/08,0.0384937238493723
2021/09,0.0452640402347024
2021/10,0.0577405857740587
2021/11,0.074601844090528
2021/12,0.0895397489539748
2022/01,0.1108333333333333
2022/02,0.1001655629139073
2022/03,0.105998356614626
2022/04,0.1414554374488961
2022/05,0.163132137030995
2022/06,0.1779041429731926
2022/07,0.1917475728155342
2022/08,0.2119258662369059
2022/09,0.2221331194867681
2022/10,0.2254746835443037
2022/11,0.2301092043681747
2022/12,0.2281105990783412
2023/01,0.2250562640660165
2023/02,0.2543265613243037
2023/03,0.2548291233283806
2023/04,0.2199140401146133
2023/05,0.2012622720897616
2023/06,0.186206896551724
