Year/Month,PT
2021/01,-0.029707808071924
2021/02,0.0417593528816986
2021/03,0.0365117682558839
2021/04,0.0640389197776012
2021/05,0.0984072232930912
2021/06,0.038906414300736
2021/07,0.1239603166649963
2021/08,0.1256296905520715
2021/09,0.1695530436586123
2021/10,0.1631605951770138
2021/11,0.1719042663891781
2021/12,0.1556219725857981
2022/01,0.1598348272736427
2022/02,0.1566534019217704
2022/03,0.3216885007278018
2022/04,0.4381823271437901
2022/05,0.4350235522305348
2022/06,0.4258373205741625
2022/07,0.3390691868758917
2022/08,0.3376564069778063
2022/09,0.2824082284092923
2022/10,0.3091310101455669
2022/11,0.3355531877108861
2022/12,0.3366628021047
2023/01,0.3360541854810699
2023/02,0.3498363682134766
2023/03,0.1736417033773862
2023/04,0.0375656912995523
2023/05,-0.1104460320525198
2023/06,-0.1491997934950955
