Year/Month,IT
2021/01,0.0054644808743169
2021/02,-0.0009025270758121
2021/03,0.0009216589861751
2021/04,-0.0132275132275132
2021/05,-0.0143369175627239
2021/06,-0.0128205128205128
2021/07,0.0085632730732636
2021/08,0.0242013552758955
2021/09,0.0293560606060607
2021/10,0.0045998160073597
2021/11,-0.0026833631484793
2021/12,0.0521023765996342
2022/01,0.0896739130434782
2022/02,0.112917795844625
2022/03,0.1178637200736649
2022/04,0.0893655049151027
2022/05,0.0881818181818181
2022/06,0.0983302411873841
2022/07,0.1037735849056604
2022/08,0.1115311909262759
2022/09,0.1416743330266787
2022/10,0.2023809523809525
2022/11,0.1515695067264575
2022/12,0.1077324066029539
2023/01,0.0581878636741479
2023/02,0.1047077922077921
2023/03,0.1260296540362437
2023/04,0.1148482362592289
2023/05,0.1587301587301586
2023/06,0.1790540540540539
