Year/Month,EL
2021/01,-0.0070358830033168
2021/02,-0.0031488065007618
2021/03,-0.0069760388231725
2021/04,-0.0114372469635627
2021/05,0.0246522094926349
2021/06,0.0275521743600288
2021/07,0.0429517698199128
2021/08,0.0757322175732218
2021/09,0.1523622859500721
2021/10,0.1827083333333334
2021/11,0.1562082777036046
2021/12,0.1490271977182438
2022/01,0.1387792286668689
2022/02,0.1680252700224169
2022/03,0.1982284667073914
2022/04,0.2189003788266612
2022/05,0.2313067784765898
2022/06,0.2485242621310655
2022/07,0.2712116701399225
2022/08,0.2542784908595876
2022/09,0.1723211887924089
2022/10,0.1674299806235688
2022/11,0.2048321193817728
2022/12,0.2183510638297874
2023/01,0.2329777777777779
2023/02,0.2303062025647737
2023/03,0.176225677627666
2023/04,0.1632087358252834
2023/05,0.1585049456786118
2023/06,0.1427999038384486
