Year/Month,FR
2021/01,-8.6058519793486e-05
2021/02,-0.0009468881811138
2021/03,-0.000258064516129
2021/04,0.0035393646408838
2021/05,8.629616845023946e-05
2021/06,0.0016328635269851
2021/07,-0.0024886295374582
2021/08,-0.003431414600669
2021/09,-0.0020650490449147
2021/10,-8.605111436188473e-05
2021/11,0.0046527658107875
2021/12,0.0073212747631352
2022/01,0.0130820208279542
2022/02,0.024211614682061
2022/03,0.0437962484942351
2022/04,0.0723440860215054
2022/05,0.1391837086892744
2022/06,0.1766623766623765
2022/07,0.2119752236751548
2022/08,0.2430920203150555
2022/09,0.260907052940162
2022/10,0.2790877796901891
2022/11,0.2849914236706692
2022/12,0.291748610517315
2023/01,0.2983603771981991
2023/02,0.2992344578110539
2023/03,0.2926386942543895
2023/04,0.2696935665008824
2023/05,0.2026208150280259
2023/06,0.1591803995916583
