Year/Month,HR
2021/01,-0.0178139219672766
2021/02,-0.0140831390831389
2021/03,-0.0218552695483243
2021/04,-0.0326201669385014
2021/05,-0.0117727184277097
2021/06,0.0039949332553834
2021/07,0.0188935180699545
2021/08,0.0364913650112206
2021/09,0.0414502694757472
2021/10,0.0507389162561577
2021/11,0.0898653998416467
2021/12,0.09649209977144
2022/01,0.1169048792508624
2022/02,0.1135848684858635
2022/03,0.1426017874875869
2022/04,0.1698899137161558
2022/05,0.2049817859604215
2022/06,0.2200116459627328
2022/07,0.2712057816660327
2022/08,0.3009507672032381
2022/09,0.2567745577719231
2022/10,0.2688232536333801
2022/11,0.2549037413730475
2022/12,0.2963567156063076
2023/01,0.2701438531462359
2023/02,0.2593772116065109
2023/03,0.24413349556753
2023/04,0.2115123770769753
2023/05,0.1760764768363427
2023/06,0.1384933577281044
