Year/Month,PT
2021/01,0.0040424931841684
2021/02,-0.002249297094658
2021/03,-0.003446348733234
2021/04,-0.0073186350745585
2021/05,0.0079431051999629
2021/06,0.0120949127504386
2021/07,0.0086892216675911
2021/08,0.0181614976250348
2021/09,0.0042087542087543
2021/10,0.0078446021666045
2021/11,0.0204883525119281
2021/12,0.0348553175497934
2022/01,0.0421348314606742
2022/02,0.0486567724967124
2022/03,0.0787924105056547
2022/04,0.1357478573403372
2022/05,0.1592595986438194
2022/06,0.1625615763546797
2022/07,0.1767778592375366
2022/08,0.1920965971459933
2022/09,0.2171928844183663
2022/10,0.2210896960711639
2022/11,0.2120462046204621
2022/12,0.2119836586472991
2023/01,0.202964959568733
2023/02,0.2034217126477964
2023/03,0.1763992375671461
2023/04,0.1181434599156119
2023/05,0.0614971148525806
2023/06,0.057909604519774
