Year/Month,BE
2021/01,-0.0754189944134078
2021/02,-0.0803895359938896
2021/03,-0.0590724739904778
2021/04,-0.0684521187560568
2021/05,-0.0690104166666667
2021/06,-0.0727368328805538
2021/07,-0.0910952804986643
2021/08,-0.058245291685806
2021/09,-0.0674829931972789
2021/10,-0.0668091432819177
2021/11,-0.0429615197272285
2021/12,-0.0171034206841369
2022/01,0.0066673611834566
2022/02,0.0423588039867111
2022/03,0.048350824587706
2022/04,0.0051068658974844
2022/05,0.0040093240093239
2022/06,0.0182402419431055
2022/07,0.0418340354658568
2022/08,0.046044288362111
2022/09,0.0535940083649448
2022/10,0.0933983869361743
2022/11,0.1165513029315961
2022/12,0.0857840643126082
2023/01,0.1202525095725965
2023/02,0.1141434262948206
2023/03,0.1081515909903469
2023/04,0.1147911178020324
2023/05,0.1393016344725111
2023/06,0.1282717653610545
