Year/Month,FR
2021/01,0.0002883783523983
2021/02,0.0003849855630413
2021/03,0.0018270987594961
2021/04,0.0052113491603935
2021/05,0.0026995757809487
2021/06,0.0061961467712265
2021/07,9.605225242537152e-05
2021/08,-0.0003840245775729
2021/09,-0.0008658008658009
2021/10,0.0005780346820809
2021/11,-0.0019157088122605
2021/12,0.0061585835257891
2022/01,0.0047088218335575
2022/02,0.0076005387723687
2022/03,0.0167978498752159
2022/04,0.0328341013824884
2022/05,0.0470192307692307
2022/06,0.0585971326854612
2022/07,0.0793315405301573
2022/08,0.1092969650403379
2022/09,0.1253610629693817
2022/10,0.1474099749663007
2022/11,0.1593090211132437
2022/12,0.1684200459066565
2023/01,0.1902439024390243
2023/02,0.2035710875584837
2023/03,0.2165581044085716
2023/04,0.2148168804610521
2023/05,0.2069978877766554
2023/06,0.198054899109253
