Year/Month,Fraud
2021/01,-0.11260337748836326
2021/02,-0.17820773450445918
2021/03,-0.1428527947967086
2021/04,-0.21128123299360219
2021/05,-0.16256414451208703
2021/06,-0.19694064389511604
2021/07,-0.2313593156711115
2021/08,-0.19897855391708447
2021/09,-0.2023280810870219
2021/10,-0.25397024237670235
2021/11,-0.24694165928166253
2021/12,-0.24916148193131618
2022/01,-0.19920859782989767
2022/02,-0.15267545682515463
2022/03,-0.26686157981334047
2022/04,-0.2357913314765314
2022/05,-0.2849698435088182
2022/06,-0.28752213033327334
2022/07,-0.19908647161040463
2022/08,-0.21855906812687526
2022/09,-0.19829793042450056
2022/10,-0.19283857353712183
2022/11,-0.11982796611134662
2022/12,-0.05140990639936149
2023/01,0.008702792605739963
2023/02,0.07902250814741586
2023/03,0.3043557742309342
2023/04,0.5016885295221828
2023/05,0.7042808241017523
2023/06,0.9421785232553075
