Year/Month,Fraud
2021/01,-0.03084149483598103
2021/02,-0.062397372264793624
2021/03,-0.09018160879451127
2021/04,-0.1696051173241939
2021/05,-0.23300677815305376
2021/06,-0.3186857465516109
2021/07,-0.31721533264166785
2021/08,-0.24600864099137768
2021/09,-0.23490338460076973
2021/10,-0.30279132861458374
2021/11,-0.37832689225386884
2021/12,-0.3174312673075767
2022/01,-0.3007495788855721
2022/02,-0.3721352384543433
2022/03,-0.41625532198381743
2022/04,-0.4481527134289778
2022/05,-0.3396757090384174
2022/06,-0.27957390097854895
2022/07,-0.2879388669002071
2022/08,-0.21278594042447965
2022/09,-0.2729527993406831
2022/10,-0.13704544177409403
2022/11,-0.0700099335813248
2022/12,0.035767864585216656
2023/01,0.0055537008514679985
2023/02,0.19789191222969538
2023/03,0.4967910896356718
2023/04,0.658033235977255
2023/05,0.7991605802211829
2023/06,0.9100310469744268
