Year/Month,Fraud
2021/01,-0.14284543440379377
2021/02,-0.19947265590297636
2021/03,-0.20718392882877662
2021/04,-0.1817770408021443
2021/05,-0.2749834647710314
2021/06,-0.27476175412561576
2021/07,-0.24056973512408406
2021/08,-0.21561900119090624
2021/09,-0.2235156330092681
2021/10,-0.2594997379038375
2021/11,-0.2845118744994793
2021/12,-0.24961251294179787
2022/01,-0.17220702337557892
2022/02,-0.12122604918573253
2022/03,-0.37621437576557604
2022/04,-0.3823754137463035
2022/05,-0.2681119859410773
2022/06,-0.2328467242785765
2022/07,-0.21053845373170704
2022/08,-0.02924067434734884
2022/09,0.08286631063261192
2022/10,0.15557613510368778
2022/11,0.32546926151612804
2022/12,0.39304909360217444
2023/01,0.2831649669876281
2023/02,0.3068846802932468
2023/03,1.0225043646504675
2023/04,1.205728803417326
2023/05,1.2918305799093084
2023/06,1.1801409944716614
