Year/Month,DE
2021/01,0.0294642857142857
2021/02,-0.0008510638297871
2021/03,0.000870322019147
2021/04,0.0149006622516556
2021/05,0.0068201193520887
2021/06,-0.0104895104895105
2021/07,0.0661080074487894
2021/08,0.0850860420650096
2021/09,0.0876685934489402
2021/10,0.0354477611940298
2021/11,0.0244786944696282
2021/12,0.092436974789916
2022/01,0.0771899392888117
2022/02,0.098807495741056
2022/03,0.123478260869565
2022/04,0.0897226753670472
2022/05,0.0736663844199831
2022/06,0.0795053003533567
2022/07,0.0768558951965066
2022/08,0.0977973568281938
2022/09,0.1426040744021257
2022/10,0.226126126126126
2022/11,0.1938053097345133
2022/12,0.1623931623931624
2023/01,0.1256038647342996
2023/02,0.2178294573643411
2023/03,0.2941176470588236
2023/04,0.1624251497005988
2023/05,0.1750788643533123
2023/06,0.1914893617021276
