Year/Month,Fraud
2021/01,0.08314666565234079
2021/02,0.07432329582943444
2021/03,0.042787076188934625
2021/04,-0.05956074385127154
2021/05,-0.11077097701344393
2021/06,-0.09226854413233097
2021/07,-0.05235656371251195
2021/08,-0.03649254977427509
2021/09,-0.057976173683331717
2021/10,-0.08214320099978752
2021/11,-0.1315937022354974
2021/12,-0.1408980555099777
2022/01,-0.10411299282255115
2022/02,-0.11837701065827291
2022/03,-0.13617382478954926
2022/04,-0.10677668208184225
2022/05,-0.10705781460617439
2022/06,-0.08549985586691233
2022/07,-0.09406291079339257
2022/08,-0.11024020935046193
2022/09,-0.1167167522765027
2022/10,-0.10005913378333993
2022/11,-0.06854407058955099
2022/12,-0.06048927996673894
2023/01,-0.056676646729563275
2023/02,-0.0432408350052571
2023/03,0.0049575591063937
2023/04,0.000728985735399644
2023/05,-0.004338322641902621
2023/06,0.0049606253283621905
