Year/Month,DK
2021/01,0.0134615384615384
2021/02,0.0132575757575759
2021/03,0.0009541984732825
2021/04,0.0009451795841211
2021/05,0.0065913370998116
2021/06,0.0047036688617121
2021/07,0.0065359477124182
2021/08,0.0103773584905659
2021/09,0.0151515151515151
2021/10,0.0151085930122756
2021/11,0.0149672591206735
2021/12,0.019867549668874
2022/01,0.0559772296015179
2022/02,0.0719626168224298
2022/03,0.0838894184938034
2022/04,0.1010387157695937
2022/05,0.109448082319925
2022/06,0.1235955056179776
2022/07,0.142857142857143
2022/08,0.1512605042016808
2022/09,0.1473880597014925
2022/10,0.1646511627906977
2022/11,0.1723502304147466
2022/12,0.1660482374768088
2023/01,0.164420485175202
2023/02,0.1578029642545773
2023/03,0.1767810026385226
2023/04,0.1518010291595199
2023/05,0.1281618887015179
2023/06,0.1299999999999999
