Year/Month,RO
2021/01,0.0360699865410498
2021/02,0.0318749999999998
2021/03,0.0255910741167093
2021/04,0.0250659630606859
2021/05,0.0243539202803328
2021/06,0.024385980246482
2021/07,0.0265386294194676
2021/08,0.0285290525213748
2021/09,0.0326939843068876
2021/10,0.0361120779672814
2021/11,0.0385852090032154
2021/12,0.0437727983324649
2022/01,0.049190265869923
2022/02,0.0590118542874449
2022/03,0.0783111725090659
2022/04,0.1068211068211069
2022/05,0.1159668177542119
2022/06,0.1262798634812285
2022/07,0.1316438472659238
2022/08,0.1446263465942827
2022/09,0.1513718868720979
2022/10,0.1582262534643488
2022/11,0.1679357375951804
2022/12,0.1788151106673321
2023/01,0.1775484936029714
2023/02,0.1783642454448892
2023/03,0.1717511410040835
2023/04,0.1514728682170543
2023/05,0.1462947352287531
2023/06,0.1497727272727274
