Year/Month,NL
2021/01,-0.0157593123209169
2021/02,-0.0119617224880381
2021/03,-0.0502379693283975
2021/04,-0.0768837367882713
2021/05,-0.0513722126929673
2021/06,-0.0620003401939104
2021/07,-0.0279636301252359
2021/08,0.0138297872340424
2021/09,0.0024051309460182
2021/10,0.0160071942446042
2021/11,0.0406966251579137
2021/12,0.0646477468492157
2022/01,0.0766011644832604
2022/02,0.0744327862971929
2022/03,0.1018930957683741
2022/04,0.1261311172668513
2022/05,0.0895036615134257
2022/06,0.1006437573669416
2022/07,0.090275326509001
2022/08,0.0945260580622595
2022/09,0.0941082378032525
2022/10,0.1066560453177554
2022/11,0.1178357756004508
2022/12,0.135666836995401
2023/01,0.134443129964509
2023/02,0.1672648359903179
2023/03,0.1787940037055753
2023/04,0.1467694326008528
2023/05,0.1481204879263131
2023/06,0.14869429112777
