Year/Month,NL
2021/01,0.0204714640198511
2021/02,0.0007775377969763
2021/03,-0.016822429906542
2021/04,-0.0197144799456152
2021/05,-0.0147971766306659
2021/06,-0.016119453635361
2021/07,-0.0134814312362218
2021/08,-0.0030640905608988
2021/09,-0.0095803306485799
2021/10,-0.0034917390563787
2021/11,-0.0068265210342178
2021/12,0.0193420257318019
2022/01,0.0277898393399911
2022/02,0.0376381215469612
2022/03,0.0549602488765987
2022/04,0.1045423023578364
2022/05,0.139490720759603
2022/06,0.1613348279727515
2022/07,0.161495487752471
2022/08,0.1695551950823872
2022/09,0.1662386577640815
2022/10,0.1726348175369627
2022/11,0.1875590686485093
2022/12,0.1848369335027531
2023/01,0.1771018166455429
2023/02,0.1708818635607321
2023/03,0.1588302752293577
2023/04,0.1121487992465861
2023/05,0.0867358533444437
2023/06,0.0686070686070685
