Year/Month,Fraud
2021/01,0.04913412808339274
2021/02,-0.05661913571151813
2021/03,-0.1367022507320268
2021/04,-0.29846826835065693
2021/05,-0.23597063621533418
2021/06,-0.11810914627816033
2021/07,-0.03898924901549403
2021/08,-0.062145712058643034
2021/09,-0.11601364686443401
2021/10,-0.22631463521614106
2021/11,-0.26561591430757453
2021/12,-0.3214512152166257
2022/01,-0.3182256417801319
2022/02,-0.2623025940263692
2022/03,-0.2644066303897146
2022/04,-0.2746011980695901
2022/05,-0.2171829235821427
2022/06,-0.2056828231189506
2022/07,-0.19552004180172514
2022/08,-0.18219486961364775
2022/09,-0.10874769529483015
2022/10,0.07957692623126068
2022/11,0.2109887048426674
2022/12,0.5167335671545779
2023/01,0.7349811535981751
2023/02,0.6058788998501906
2023/03,0.6349237611793448
2023/04,0.6109480977212259
2023/05,0.45566178070190944
2023/06,0.37598346128394855
