Year/Month,NL
2021/01,0.0056261519061013
2021/02,0.0056894889103182
2021/03,0.0016289766193944
2021/04,-0.0146989094357514
2021/05,-0.0053307948595906
2021/06,0.0006670478368593
2021/07,0.0009548362455837
2021/08,0.0018124582657637
2021/09,0.0013358778625953
2021/10,0.0030560595931621
2021/11,0.0067735165044839
2021/12,0.0135781220118569
2022/01,0.0345326516832256
2022/02,0.0396011122830568
2022/03,0.0461111642590643
2022/04,0.0591915303176129
2022/05,0.0648865920183749
2022/06,0.0756118464908104
2022/07,0.0915768386912143
2022/08,0.1053132736621595
2022/09,0.1008195159138556
2022/10,0.1133009616300104
2022/11,0.1407182791623233
2022/12,0.1638679245283019
2023/01,0.1799533799533799
2023/02,0.1947980077476478
2023/03,0.1952446273433927
2023/04,0.1876419809177645
2023/05,0.1893592163206614
2023/06,0.172996901283754
