Year/Month,IT
2021/01,0.0252025202520254
2021/02,0.0160142348754448
2021/03,0.0302760463045415
2021/04,-0.0068965517241379
2021/05,-0.0183706070287539
2021/06,-0.0470494417862838
2021/07,-0.0447257383966244
2021/08,-0.0239111870196413
2021/09,-0.0214961306964746
2021/10,-0.0094017094017093
2021/11,0.0188356164383562
2021/12,0.0394736842105263
2022/01,0.050921861281826
2022/02,0.062171628721541
2022/03,0.0751944684528953
2022/04,0.0720486111111111
2022/05,0.0577705451586656
2022/06,0.100418410041841
2022/07,0.0848056537102472
2022/08,0.0804899387576554
2022/09,0.0773286467486817
2022/10,0.0655737704918031
2022/11,0.0697478991596638
2022/12,0.0447257383966244
2023/01,0.050125313283208
2023/02,0.0552349546578729
2023/03,0.0594855305466237
2023/04,0.0785425101214574
2023/05,0.07
2023/06,0.0836501901140684
