Year/Month,Fraud
2021/01,-0.03816610595577825
2021/02,0.1782852711273882
2021/03,0.6177605466940964
2021/04,0.07530609754098516
2021/05,-0.1249088161183086
2021/06,-0.15358309786583854
2021/07,-0.19191833623337973
2021/08,-0.18009502145679465
2021/09,-0.3383073611909188
2021/10,-0.07121396680408351
2021/11,0.022469418461979633
2021/12,0.07828666527930105
2022/01,-0.05281033772152494
2022/02,-0.3158153291679347
2022/03,-0.22952425984531122
2022/04,-0.26968361613503505
2022/05,-0.01966147672314771
2022/06,0.03728625852117934
2022/07,-0.07188968250484681
2022/08,-0.058915111470319616
2022/09,0.3076273137804475
2022/10,0.12608632815685636
2022/11,-0.17059801036489125
2022/12,-0.04314595034575821
2023/01,-0.06931482885427806
2023/02,-0.04284681231775721
2023/03,0.12357460672537282
2023/04,0.4006379704232239
2023/05,-0.031936715410585785
2023/06,-0.22219244042985736
