Year/Month,BG
2021/01,0.0567880085653105
2021/02,0.0609590205747321
2021/03,0.0551939819119262
2021/04,0.0559016669472975
2021/05,0.0526095684175309
2021/06,0.0507694881231179
2021/07,0.0526359623552927
2021/08,0.0587007348029391
2021/09,0.0710473649099399
2021/10,0.0967177607464178
2021/11,0.1427027027027025
2021/12,0.1522962721266008
2022/01,0.1723131787972118
2022/02,0.1823864091674012
2022/03,0.2085068888176866
2022/04,0.2381597831286874
2022/05,0.3071911005164878
2022/06,0.3540555599777124
2022/07,0.288076588337685
2022/08,0.2781765123432447
2022/09,0.2755372158206168
2022/10,0.2689707557918723
2022/11,0.2338257768721343
2022/12,0.2003397989522866
2023/01,0.1866012168141593
2023/02,0.1713995255845475
2023/03,0.1562272154835289
2023/04,0.139352179792646
2023/05,0.0801167102303812
2023/06,0.0476750338016576
