Year/Month,SI
2021/01,0.0459233000322267
2021/02,0.0424904336734694
2021/03,0.0366134540544835
2021/04,0.0400508582326764
2021/05,-0.135808
2021/06,-0.098452978694531
2021/07,-0.1021288437456519
2021/08,-0.1232185475622229
2021/09,-0.0870233272803464
2021/10,0.010030751208083
2021/11,0.0576076705438541
2021/12,0.0948364209696492
2022/01,0.0983669696502851
2022/02,0.1174581325992198
2022/03,0.1084891204413116
2022/04,0.0860330073349633
2022/05,0.1140487299118715
2022/06,0.1489425754496876
2022/07,0.1522547652254766
2022/08,0.1218696531342353
2022/09,0.1292074663402693
2022/10,0.1343240304458137
2022/11,0.1541948428327264
2022/12,0.1790754608294931
2023/01,0.1731537976015147
2023/02,0.1270786286183534
2023/03,0.1401714127730162
2023/04,0.1551990994793866
2023/05,0.1522302732167786
2023/06,0.1204637757107298
