Year/Month,Fraud
2021/01,-0.06783539276458608
2021/02,-0.08348988996879765
2021/03,-0.11901237447583701
2021/04,-0.13331291125505193
2021/05,-0.1938828808332008
2021/06,-0.21283189005286995
2021/07,-0.2199518413502023
2021/08,-0.2950763607350952
2021/09,-0.3465446677897735
2021/10,-0.35180086823186085
2021/11,-0.3795312002141955
2021/12,-0.3566309765041765
2022/01,-0.31809597852955496
2022/02,-0.2880642585763917
2022/03,-0.3878923365610175
2022/04,-0.34439821992369063
2022/05,-0.3211334971744628
2022/06,-0.32130680509251114
2022/07,-0.24779773459348567
2022/08,-0.112871286009299
2022/09,-0.04885585880014203
2022/10,-0.002652541177306701
2022/11,0.09747668381669206
2022/12,0.15711580889309393
2023/01,0.16280525717929067
2023/02,0.21560653974179195
2023/03,0.5637035821972348
2023/04,0.5174286469862539
2023/05,0.5474407735915142
2023/06,0.588565567188704
