Year/Month,Fraud
2021/01,-0.3615576914797411
2021/02,-0.2024707013099214
2021/03,-0.27178776138008
2021/04,-0.3539568611347827
2021/05,-0.3640195843481068
2021/06,-0.4077301027109616
2021/07,-0.33549715223191084
2021/08,-0.23248682284660663
2021/09,-0.2665785571813696
2021/10,-0.21221689825598913
2021/11,0.18314653405825926
2021/12,0.097243529486005
2022/01,0.08932756426812986
2022/02,-0.13871674092505354
2022/03,-0.09754306085804963
2022/04,0.020109223461193915
2022/05,0.05288586433108433
2022/06,0.1179822730811712
2022/07,0.13361945486801421
2022/08,0.05341301177450425
2022/09,0.09882241435140471
2022/10,-0.05510176826056688
2022/11,-0.10032471952916493
2022/12,-0.18512551306538677
2023/01,-0.14431266871873882
2023/02,-0.1557194754560672
2023/03,-0.1660692014044252
2023/04,-0.2583525551891146
2023/05,-0.24231760791414472
2023/06,-0.311282214419582
